graph_size: (,)
field_type: Z32783
number_of_graphs: 66
657; (0,1), (0,2), (0,5), (0,7), (1,3), (1,4), (1,7), (2,4), (2,7), (3,6), (3,7), (4,5), (5,6), (6,7)
23348; (0,1), (0,2), (0,5), (1,2), (1,3), (1,4), (1,7), (2,3), (2,5), (3,6), (4,5), (4,7), (5,6), (6,7)
18782; (0,1), (0,2), (0,5), (1,2), (1,3), (1,4), (1,7), (2,3), (2,5), (3,7), (4,5), (4,6), (5,6), (6,7)
8670; (0,1), (0,2), (0,5), (1,2), (1,3), (1,4), (1,7), (2,5), (2,6), (3,5), (3,6), (4,5), (4,7), (6,7)
4394; (0,1), (0,2), (0,5), (1,2), (1,3), (1,7), (2,4), (2,7), (3,6), (3,7), (4,5), (4,6), (5,7), (6,7)
16716; (0,1), (0,2), (0,6), (0,7), (1,2), (1,4), (1,7), (2,3), (2,6), (3,4), (3,5), (4,5), (5,6), (5,7)
28869; (0,1), (0,2), (0,6), (0,7), (1,3), (1,5), (1,6), (2,4), (2,5), (3,4), (3,5), (4,6), (4,7), (6,7)
20769; (0,1), (0,2), (0,6), (0,7), (1,5), (1,6), (1,7), (2,4), (2,5), (3,4), (3,5), (3,6), (4,6), (4,7)
6003; (0,1), (0,2), (0,6), (1,2), (1,3), (1,7), (2,4), (2,7), (3,4), (3,7), (4,5), (5,6), (5,7), (6,7)
31276; (0,1), (0,2), (0,6), (1,2), (1,4), (1,6), (2,3), (2,6), (3,6), (3,7), (4,5), (4,7), (5,6), (5,7)
16716; (0,1), (0,2), (0,7), (1,2), (1,4), (1,6), (2,3), (2,6), (3,6), (3,7), (4,5), (4,6), (5,6), (5,7)
30526; (0,1), (0,3), (0,4), (0,6), (1,2), (1,5), (1,6), (2,6), (2,7), (3,6), (3,7), (4,5), (4,6), (5,7)
16374; (0,1), (0,3), (0,4), (0,6), (1,3), (1,5), (1,7), (2,3), (2,4), (2,5), (4,6), (4,7), (5,6), (5,7)
22040; (0,1), (0,3), (0,4), (0,7), (1,2), (1,5), (1,7), (2,5), (2,7), (3,4), (3,6), (4,6), (5,6), (6,7)
29346; (0,1), (0,3), (0,5), (0,7), (1,2), (1,4), (1,7), (2,3), (2,4), (2,5), (3,6), (3,7), (4,6), (5,6)
26061; (0,1), (0,3), (0,5), (0,7), (1,2), (1,4), (1,7), (2,4), (2,7), (3,6), (3,7), (4,5), (5,6), (6,7)
26054; (0,1), (0,3), (0,5), (0,7), (1,3), (1,4), (1,7), (2,4), (2,6), (2,7), (3,5), (4,6), (5,6), (6,7)
4566; (0,1), (0,3), (0,5), (1,3), (1,4), (1,6), (1,7), (2,3), (2,5), (2,6), (3,5), (4,5), (4,7), (6,7)
30624; (0,1), (0,3), (0,6), (0,7), (1,2), (1,3), (1,6), (2,4), (2,5), (3,5), (4,5), (4,6), (4,7), (6,7)
8245; (0,1), (0,3), (0,6), (0,7), (1,2), (1,6), (1,7), (2,4), (2,5), (3,5), (3,6), (4,5), (4,6), (4,7)
