graph_size: (,)
field_type: Q
number_of_graphs: 66
-3572507140281/1949983790888; (0,1), (0,4), (0,6), (0,7), (1,3), (1,5), (1,6), (2,3), (2,4), (2,5), (3,5), (4,6), (4,7), (5,7)
-5615968732301/3899967581776; (0,1), (0,5), (0,6), (0,7), (1,3), (1,4), (1,6), (2,3), (2,4), (2,5), (3,5), (4,6), (4,7), (5,7)
5235062007141/1949983790888; (0,1), (0,6), (0,7), (1,3), (1,4), (1,5), (1,6), (2,4), (2,6), (2,7), (3,5), (3,6), (4,7), (5,7)
-838573589006/243747973861; (0,2), (0,3), (0,4), (0,5), (0,7), (1,2), (1,3), (1,6), (2,4), (2,6), (3,6), (4,7), (5,6), (5,7)
2189235142985/974991895444; (0,2), (0,3), (0,4), (0,5), (0,7), (1,2), (1,6), (1,7), (2,5), (2,6), (3,5), (3,6), (4,6), (4,7)
5224591248971/3899967581776; (0,2), (0,3), (0,5), (0,7), (1,2), (1,3), (1,4), (1,7), (2,6), (2,7), (3,4), (3,5), (4,6), (5,6)
-1857043623699/1949983790888; (0,2), (0,3), (0,6), (0,7), (1,2), (1,3), (1,6), (1,7), (2,5), (3,4), (4,5), (4,6), (5,7), (6,7)
2467474294779/974991895444; (0,2), (0,3), (0,6), (0,7), (1,3), (1,4), (1,6), (1,7), (2,4), (2,7), (3,5), (4,5), (5,6), (6,7)
-835267501355/557138225968; (0,2), (0,3), (0,6), (0,7), (1,3), (1,4), (1,6), (1,7), (2,5), (2,7), (3,4), (4,5), (5,6), (6,7)
2265655608533/3899967581776; (0,2), (0,4), (0,6), (0,7), (1,2), (1,3), (1,6), (1,7), (2,5), (3,5), (3,6), (4,5), (4,7), (6,7)
-5611746231367/1949983790888; (0,2), (0,4), (0,6), (0,7), (1,3), (1,5), (1,6), (1,7), (2,4), (2,6), (3,5), (3,7), (4,5), (6,7)
7202771681737/3899967581776; (0,2), (0,4), (0,6), (0,7), (1,3), (1,5), (1,6), (1,7), (2,5), (2,6), (3,4), (3,7), (4,5), (6,7)
